Date (2015),Stock Price Google,Stock Price Microsoft
15-09,635.14,43.98
16-09,635.98,44.3
17-09,642.9,44.25
18-09,629.25,43.48
21-09,635.44,44.11
22-09,622.69,43.9
23-09,622.36,43.87
24-09,625.8,43.91
25-09,611.97,43.94
28-09,594.89,43.29
29-09,594.97,43.44
30-09,608.42,44.26
01-10,611.29,44.61
02-10,626.91,45.57
05-10,641.47,46.63
06-10,645.44,46.75
07-10,642.36,46.8
08-10,639.16,47.45
09-10,643.61,47.11
12-10,646.67,47
13-10,652.3,46.89
14-10,651.16,46.68
15-10,661.74,47.01
16-10,662.2,47.51
